PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/2021;  0,9;  7,0;  0,0;  0,0; 20,1;  0,0;  0,0;  7,1;  0,0;  2,0;  3,3; 30,5;---;---; 28,3;  7,0;  0,0;103,2;  2,8;---;---;  0,0;  0,0;  0,0; 14,0;  2,7;---;---;---;---;---;---;---
  03/2021; 26,7;  0,0;  0,0;  0,0;  4,4; 47,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;  1,3;---;---;---; 44,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  04/2021;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---; 13,9;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;---;---; 12,9;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,0;0,0;0,0;---;---;---
  05/2021;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0; 24,5;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;7,6;---;---
  06/2021;  1,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,3;  0,3;  0,0;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  5,4;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;8,3;17,9
  07/2021;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 26,3;16,0;0,0;0,0;26,3;45,7
  08/2021;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;---;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;23,0;0,5;---;---
  09/2021;  0,0;  0,0;  0,0;---;---;---;---;  0,0;  0,0;  0,0;---;---;  2,4;  0,0;  0,0;  3,3;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;0,0;0,0;---;---;---
  10/2021;  0,0;---;---; 17,0;  1,0;  0,0;  0,3;  0,0;---;---;---;---; 28,2;  0,0;  8,0;  0,0;  0,0; 36,7; 17,0;  3,9;  0,0;  0,0;---;---; 35,7;  0,0;  0,0;  0,0;0,0;---;---;---;---
  11/2021;---;---; 15,5;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---; 46,6;  0,0;  0,0;  0,0;---;---;  3,6;  0,0;  0,0;  0,0;  0,0;---;---;4,0;9,5;---;---;---
  12/2021;  8,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7;  6,0;  0,0;  0,0;---;---; 11,2; 17,1; 19,3; 27,3; 12,2;  0,0;  0,0;  1,1;  0,0;  0,0;  5,1;  0,0;  0,0;  0,0;  0,0;---;---;---;---;---;---
  01/2022;---;---; 73,0;  9,2;  9,5;  8,8;  8,6;---;---; 18,5;  0,0;  8,9; 17,7;  0,3;---;---; 46,9;  0,0; 10,7; 18,2; 22,2;  0,0;  0,0;  0,0;  0,0;  0,0;  3,8; 17,7;---;---;103,5;---;---
  02/2022;  8,7;  8,7;  7,5;  0,0;---;---;  2,8;  5,4;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  5,0;---;---;  0,0;  9,0;  4,5;  0,0;  0,0;---;---;  0,0;---;---;---;---;---
