PREFIXO: ;E3-006
NOME DO POSTO: ;SANTO AMARO
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;PINHEIROS,R
LATITUDE: ;23°38'24"
LONGITUDE: ;46°41'33"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  05/2020;  0,0;  0,0;  0,9;  0,0;  0,0;  0,0;  8,5;  1,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,4;  2,7;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;8,5;14,5
  06/2020;  0,0;  0,0;---;  0,6;  1,5;  0,0; 18,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,7; 75,5;  6,5;0,2;0,1;---;---;---
  07/2020;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;9,6;0,0;---;---
  08/2020;  0,0;  0,0;---;  0,0;  0,0;  0,0;---;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2;  0,0;  8,9; 22,5;  7,8; 11,4;  0,0; 12,9; 11,6;  1,4;  0,0;  0,0;  0,0;---;  0,0;0,0;0,0;0,0;---;---
  09/2020;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  2,2; 13,8;  3,6;  0,0;  0,0;  0,0;  0,0;---;2,3;0,0;---;---;---
  10/2020;---;  0,0;  0,0;  2,1;  0,0;  0,0;  0,0;  8,0;  4,6; 24,4;  0,0;  0,0;  0,0;  0,0;  5,7;  1,6;  2,2;  0,0;  0,0;  6,7;  5,6;---;  0,0;  0,0;---;  6,5;  0,0;  0,0;0,0;7,8;35,2;---;---
  11/2020; 20,0;  0,0;  0,0;  0,0;  5,5;  1,3;  0,0;  0,0;  0,0;  7,1;  0,1; 10,0;  0,0;  6,3;  0,0;  0,0;  4,9;  5,8; 27,8;  4,6;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;27,8;94,2
  12/2020;  7,2;  0,0;  0,0;  0,0;  0,0;  1,2;  2,1;  8,3;  5,9;  0,0;  0,0;  0,0; 20,5;  6,7;---; 28,4; 10,0;  3,3;  8,4;  8,2;  9,5;  5,3;  0,0;  0,0;  0,0;  0,0;  5,8; 11,1;---;100,3;0,0;---;---
  01/2021;  3,0;  5,5;  0,5;  0,0;  0,0;  0,0;  0,3;  8,6;  1,6;  0,0; 28,5;  0,5;  0,0;  1,3; 13,6;  0,0;  0,0;  0,0;  5,5; 18,4;  0,0;  0,1;  0,0;  1,6;  2,6; 21,4;  1,0; 13,7;0,0;0,0;0,0;28,5;127,7
  02/2021;  0,0;  7,3;  2,6; 12,3; 19,1;  2,1;  2,7;  0,0;  0,0;  0,0;  2,2; 14,1;---; 22,4;  0,0;  2,1; 26,5;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;  6,0; 63,4;---;---;---;---;---;---
  03/2021;  5,5; 11,5;  0,0; 10,3;  5,3; 36,7; 19,2; 12,5;  7,4;  7,4;  0,0;  1,9;  0,0;  0,0;  0,0;  0,0;  0,0; 26,0; 25,9;  1,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;36,7;170,7
  04/2021;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0; 16,3;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0; 40,3;  7,8;  3,2; 11,5;  1,8;  1,3;  0,0;  0,0;  0,0;  0,3;  0,2;1,7;0,0;---;40,3;87,4
  05/2021;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;1,0;11,2;11,2;24,3
  06/2021;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,9;  0,0;  1,7;  0,0;  0,0;---;  0,0;  0,0;  6,0;  0,0;  0,1;  0,6;  0,3;  5,8;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;---;---
  07/2021;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,8;  0,5;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0; 31,5;1,3;0,0;4,9;---;---
  08/2021;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,5;  0,1;  0,0;  0,0;  4,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9; 18,1;9,6;2,0;0,0;18,1;37,0
  09/2021;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;0,0;0,8;---;8,9;17,3
  10/2021;  0,0;  5,0;  0,0; 15,7;  1,3;  0,0;  0,0;  0,2;  0,0;  9,2;  8,5;  6,0;  0,2;  0,0;  2,2; 25,9;  1,0; 10,3;  9,1;  7,5;  0,0;  0,1;  0,0; 29,2;  2,9;  0,0;  8,5;  8,5;0,0;0,0;0,0;29,2;151,3
